Index,comments
524,Happy Air Max Day World!  San Francisco in a pair of Infrared Max 1s. Quarantine or Not 
525,Who remembers air max classic? I believe they're now called air max BW (big window) 
526,The classic is air Max 1   (1987)Air Max 90 bw are from 1991
527,"Airmax till  die, the only trainers I will wear. Airmax day is the same as my birthday too. March 26th."
528,ONE OF MY TOP 5 NIKESTHANKS
529,After seeing this video i want to become a nike designer as my job after i finished school.
530,This is such high quality of production for a YouTube video
531,"@IGIVEYOUTHEFACTS not really, some use better cameras such as RED cameras, better photo editing software, more well thought out shots. This is like a documentary"
532,Lol are you new to YouTube? Almost every video is high quality it’s 2021
533,The AM 1 and 90 are two shoes that speak style.
534,Love the sneaker culture fxckin love it 
535,"Bruh. They are shoes. You buy them, appreciate them, wear them, 2 weeks later, they are just another pair in your shoe rack."
536,#HappyAirmaxDay2020
537,I had the Day-Glo 90s and the original 180s.They were special.
538,"* Me hyped for the deeper history behind the 98s *Nike Stoopid, I'm not gonna let you get the chance"
539,No other words but amazing
540,The best documentary I have ever seen!
541,@Tony Montana Yeah it's not a bad one but... it aint no David Attenborough my guy!
542,You need to watch better documentaries
543,I understand why you did it but it still would have been nice to mention some of the lesser known mainline air maxes over the years
544,"Agreed. Where was the air max 360, 24-7, LTD, tailwind, solas, TL, just to name a few"
545,Thank you! I just said near the same but in a rant but good to know someone else is questioning why 
546,Air maxes are the shit 
547,"Just rock the classics, the 1, 90, 93, 95, 98, BW, Commands, Ivo's...Not a huge fan of how the ones look, they're hard to wear with Jeans and stuff but the technology is amazing no doubt."
548,"The only problem I have with air max shoes is, they are always out of stock in every webshop in my country. The air max 90's."
549,"I've got this love/hate relationship with my 90's. I love wearing these, I hate they came from child labor."
550,@Duncan 1 It's sad we should be able to change it
551,it’s sad the thing is most companies use child labour and it’s something about the world that i guess we can’t change
552,"My favorite Air Max sneaker is 97 premium black.. and I have also Air Max 270 react.. I won't lie.. They are fire.. only pairs of these in my school.. as I bought a 97's Premiums.. everybody was like ""What are those!?"" soon enough I started a trend in my school and I can tell that my Premiums are just like me.. simple, fasionable, uniqe ( <-- not sure if I write it correct).. Happy Air Max Day everyone D"
553,The greatest pair of trainers ever air max 90
554,"Hi! I got some types of air max but the most comfortable is the air max oketo.I use it 10-12 hours/day and not hurts my feet, soft and light."
555,those are good ones especially when first trying air max. all though they arent as expensive like the others still a great and stylish shoe
556,Dick Knight I am sure is so proud from his waffle design shoes to the cultural impact his shoes have made. Not bad for an accounting major.
557,"Growing up in the bay area back in the 80s way before Nike. Having shoes gave all us poor peeps individual swagger and style. We rocked Troops,BK,Diadora and le coq sportif just to name a few. That was the only thing made us different from one another. No one had the same shoes too. EAch person had to have a different syle if not colorway. Now that Nike has wiped the average mind. Cus the swoosh aint nothing but a whip in mid swing. Everyone rocking the same shit and trying to be like the next tool off instagram. Sad how things have turned out. I still have shoes from back in the days. I have OG colorways from back in the days. I laugh at the kids and whites at footlocker that say things like love your retros. When they not retros hahahha or I see you like cortezs like its my first pair. I've owned prolly 50 pairs since my gangbanging days of the 80s."
558,"I first saw the airmax 95's in 9th grade; someone in the 10th grade were wearing them. From that day forward, I fell in love with that silhouette and did everything I could to learn about sneakers. Coppin' my first pair of 95's in 12th grade was a great feeling. Been workin' hard and finally had enough money to cop em myself. Still waiting for them to release the neons!"
559,Airmax 96 OG ones not the retro ones.. and Tailwind IV ! The best air maxes in history.
560,i enjoy it and love it
561,1611 where the arrow points and says first fully foamless air max is where the shoe had a flaw. After a month of use the connection broke.
562,They should bring back some of the styles of the late 90's back like the ACG Air Terra Ptarmigan
563,I love air max!!! wow~!
564,"It is a shame that they didn't feature Australia. Australia easily has one of if not the biggest Air Max hype. Beats Jordans, Adidas, Asics, any day of the week. TN's alone I would say have the biggest hype here than anywhere else in the world."
565,Fr the full history of air max is global. Europe and Australia and Japan are everything to the history of Air max
566,Well Nike you have still 70 years time to call it Airmax 2090...  wtf
567,"Nike story as a startup is so interesting. I did a video on it if someone is interested to know more, let me know! Congrats!"
568,"My favorite shoe line ever! Way better than overplayed converse, or vans."
569,NIKE AIR MAG - The greatest sneakers of all times
570,Now do one about ALL the Nike Air Force series and ALL the Nike Delta Force series!!!!!
571,I haven't wore a pair of Air Force One's in a decade
572,"Honestly speaking I think we need a completely new take on the air max instead of a revamped version of the og, I do appreciate the design but at the end of the day it’s a pass not hatin just my opinion Nike please we need something new !!!!! ."
573,"Air Max 90 and 95s over Jordan anytime of the day. And yes, I'm a Jordan sneakerhead to."
574,In amsterdam air max 90's will never be out of fashion!!
575,Awesome story mannn
576,"What about the most forgotten & under-rated AM, the AM Light, just totally goes under the radar. Also the Air 180 barely got a mention & the AM ST was also not even mentioned? These are iconic AM's from the golden era/age. Thought this video was meant to be The Story Of Air Max?"
577,"in the years 1995 96 97 98 99 00 and 2001 I always had nike air maxthen other shoes came, other brands and I haven't bought air max for yearsbought a few classics in 2010 / 2011 and then again for 10 yearsbut since yesterday bought a pair of nike air 90s again and from now on i will stick with it no more shoes on my feet than air max 90 in the coming years"
578,"I usually skip 30 seconds adds, just watched 24 minutes ad. Nike got game!"
579,If i could wear any sneaker forever it'll be the airmax 90 (i just ordered the hyper royal)
580,Scoop Jackson talking from his heart ..
581,"Most desirable Nike releases these days are retros or new colorways of old shoe designs. T Scott, Virgil, Jordan's, etc.The 2090 are not in the same league as any 90s Airmax. They dude saying this generation doesn't have their own shoe is wrong. We do but it's not coming from Nike. From a creativity standpoint - the yeezy line is beyond anything Nike has done since the 97."
582,Going of subject I brought a pair of r4 shox recently 
583,2219 This chick got the same VM360s that I do. 
584,"Ahh....!! Airmax 97 still this day is my favourite. I remember back in 97 when it first came out. I couldn't convince my parents to buy me a pair. Especially in Indonesia, price is slightly more expensive for some reason. I was only 15 years old. Now I'm 40."
585,BW Classics are the shoe for me.. Raves at 14 n worn ever since...
586,Air Max 93 the best of all time
587,"yup, complete with monochrome screen & shitty keypad"
588,@Tenamsal Sangma you know damn well he didnt get a laptop just to design some running shoes what software did it come with  Microsoft paint lmao
589,laptop was invented in 81' so..
590,"Why isn't  the OG Airmax 2 , Airmax Lite never mentioned ?  imo the best looking Nike Airmax ."
591,"I have bought the all black 2090 air max and the pure platnum shown in the video. They are super comfortable and I feel like a badass while wearing them, even though I know I'm not.lol!!!"
592,"SHAME THE AIR UNIT GOT SO SMALL, BACK IN THE 90'S THE AIR UNIT WAS WAY BIGGER, ESPECIALLY ON THE 180'S, NIKE PLEASE BRING BACK THE OLD AIR UNIT "
593,"Wish they gave the same speech and attention to nature, animals and the earth. I’m a sneakerhead but Nike is super commercialized and we should teach young people about Mother Nature not to make people think that wearing AM90 is OG."
594,I stan for my sis Scottie Beam!!! 
595,Viewed this 2x on accident but I’m getting one of these shoes one day
596,visit the nike store while watching this... well played nike...edit now i am happy owner of air max 90 slides...
597,"Hearing how the shoes came up in these ""influencal cities"" is cool but for 90% of people who didn't live in these cities I couldn't give a fuck about the city or shoe I just like the shoe since it looks good. Also since these shoes are so old like the 95 the 90 the 97 than eventually their gonna get lost in time. Is it a big deal if the 95 was the first shoe to have a black midsole?"
598,Set a reminder and watch the premiere with us later today!
599,eyy Nike why is my Air Jordan 34 are getting water inside on the silver circles every time i step in water on the outsole
600,Eyy nike why is my air jordan 34 are getting water on the multiple silver circles of the outsole
601,"Air max is the only shoe I wear, I even designed my own on the site"
602,1536 thats fire
603,Have the 2090s in Chile Red 
604,"i  dont like the 2090 to be honest, it looks like a degrade when compared to 720"
605,@corsinivideos yeah 2090 looks like its half finished don't know if they did like that on ourpose
606,"Both garbage imho.  Problem is if we are being perfectly honest these newer designers don't have the vision or  attention to detail that hatfield, lozano and others had on these iconic shoes. Far too gimmicky looking and disjointed, also lack proper paneling and the structure these legendary air maxes had."
607,Love my 720s. Whoever says they aren't comfy is smoking dick lmao. they are great and futuristic looking. not saying they are the best or whateva but they are definitely slept on a lot
608,The air Max 200 is my favorite
609,I love the 97s and 2090s
610,"2021 Classic BWs, please..."
611,Yeah! I need some persian violet in my collection! Best looking Air Max ever IMO.
612,My first shoe was a air max 90 kids and was size 3.5 now I wear size 10
613,Love this video
614,"Who remembers the Nike Air Max FORCE 180, Charles Barkley shoe....... Bring that back"
615,"In my neighborhood, the only Air Max i would see was on criminals and drug dealers, so i never wanted them."
616,"As a born in the 80s raised in the 90s kid, I never really liked the look of the Air Max 90s. I preferred high tops, but times change and as one matures so do our tastes. Music that I never paid attention to in my childhood and food that I hated I now like today. Likewise the 90s are now my favourite sneaker."
617,These shoes mean so much to me
618,I will be a professional football player and develop my own collection with NIKE one day.
619,"Nike WaterNike EarthNike FireNike AirLong ago, the four elements lived in a shoe....."
620,The best airs are Nike air max 97 but i love the vapourmax flyknit
621,thank you for making the infra reds again  )
622,My first pair of nikey best shoe I ever had
623,Just coped the ORANGE Air Max 90 they are so worth the £115 just an All round great shoe.
624,"AirMax90s-white&white=O.Gs A few years later tn,s took it 2 another level and still going strong. ."
625,This is just a ad for the new AirMax lol
626,"Ofcourse it's an Ad, "" the best in History of Sneakers!!"" Haa, nice but who defines BEST."
627,Legendary.
628,This is maybe the best Reputation that Gabber ever got since the ´90´s Thx for that!
629,The people that dislike this video wear YeezysOr they thought it meant Dis-I-Like
630,TrueBlueDC4L I just dont like the look of the 2090 
631,nike air max classic bw 
632,as a teenager the new generations air max is the air max 270 or vapormax
633,"I absolutely love my all black 270s, I have the wolf grey and all white 2090s which I can see being an icon of the 20s and beyond"
634,"True but they look quite big, a friend of mine wears 2090's in a size 9. If I put my vans in next to his nikes it looks like I have midget feet though I wear a size 9 as well "
635,air max 90 new species. hands down
636,Clark said it all “the people decide if it’s a classic” - nice film but those 2090’s are wack! When you see a kick and the endorphins pop - you gotta winner.
637,Air Max Plus (TN) definitely!
638,The Problem is that how do these guys keep their shoes so clean
639,"What colorway of the 90 is Clark Kent wearing?!?,"
640,Seriously... need to know
641,How about releasing the persian violet BW and Lazer blue 90's again PLEASE
642,Yeah! Persian Violets were the shoes of my generation.
643,Never knew sneakers from the US were so popular around the world.
644,"Have never had a Nike AirMax 90 what do are your reviews , I am thinking of getting one"
645,Jordan Bolt Cuz they’re the worst AMs ever
646,Please bring back 90 essentials
647,90's!!!
648,nice video  would have liked  a little more history though
649,Airmax is my favorite of all tym
650,this is a great vid but the quality of the current shoes r just terrible
651,prod chui yeah its quite annoying. those terrible weird “new generation airmax” are everywhere.. where i cant find the amazing air max 90s (im only 18 not some guy of some age)
652,Happy air max day! Happy birthday Seth Fowler!
653,Went from running shoe to flockin shoe.
654,The true story is their treatment of employees and consumers. I’ve dedicated 3 years to this “company “... The mighty shall fall.
655,"Got 97 for my 9th bday, expensive but mother saved up some money, and was able to wear them once to the pool where my bday party was with 10 friends... when changing again in the big shared lockerroom gone were my 97s, never ever i got the precious gems again cuz ppl get jealous... haha so sad"
656,Air Max 97/1 Sean Wotherspoon. THE BEST OF ALL TIME.
657,"Designing sneakers, Best job in the world for any sneaker OG"
658,"2337 If your only rule is to break the rules, that means you shouldn't break a rule."
659,"Nike air max 90 2020 infrared! My favourite sneaker of all time, let alone Nike sneaker lol, easiest question i've ever had to answer, i'm OBSESSED with them!"
660,Air max 95s the best by far
661,INFRAREDS PLEASE!
662,I was 20 when the og pair came out..no one in the hood wore them..then the dope boys and runners started the trend. Hated em..love em now.
663,I live in the uk so every time I see a 95 or 97 it just looks like a roadman shoe
664,My FAVORITE Model Shoes  -THe 90' classic  <3 Are you OK? Like !!
665,Didnt know he was a high carb vegan!
666,Thats what you take from this?
667,Just ordered a pair customized them myself black base and sole with a blue and gray top!! Cannot wait!!
668,95s for life.
669,Air Max 97 is my personal favourite.
670,"1707 on the right wall, is that what i think it is?"
671,Notice how nobody talks about the shoes performance as an actual runner! Why? Because these shoes were nearly useless unless you weighed 180+ because the air bladders were encapsulated in think urathane and had a super stiff forefoot. I personally sold far more Pegasus to real runners...we never brought out Air Max for a true runner. The shoe clearly made it supporting the DJ/art culture!   Nike should do docs forthe original Air Trainer and the Agassi. How about a doc on Pressure?
672,One of the coolest shoes ever created.
673,Mine fave airmax are the airmax 95s.
674,1555 agreeeeeeeeee
675,Nike stays living in the past
676,how the hell you not going to have Tinker speak smh... great video tho!
677,924 that’s my school
678,97s are my favourite
679,Dizzee rascal has a song called bubbles which is about air max
680,2302 mans in bapestas
681,Marus Tsui Couldve rocked the roadstas for the video if he was gonna wear bapes
682,"90 duck Camo's, Japan 97's and silver bullets. OG Volt 95's, TN's, first Vapormax. I could go on and on and on....! Oh and I forgot Air Max 1's and well!"
683,"Definitely not a fan of those air max 2090  my favorite Air Max ever are the 95’s, 1’s and 90’s oh yea and 97 silver bullets, metallic gold ones and the Vapor Maxes."
684,i've got the lunarlon air max infra red!
685,AIr Max 90 all the way
686,1730 Eshays have entered the chat
687,im support 100% to original product from NIKE...
688,I love my air verisitle III.
689,They look like a mix of the 200s and 270
690,This generation does have a shoe. It's called a Yeezy.
691,"@Dimitrije Tucović i like the 750s and the v3 AzealCoild use foam runners as crocs, very expensive ones for that"
692,And it's horrible and overpriced 
693,433 No one Him You can see the air. 
694,such a nice shoe
695,Yo Nike!! When we getting an Air Force 1 day. Just as iconic if not more than air max. Air 1's will be around forever like chuck taylors.
696,I got like 6 pairs of 90's... But what up with the 2013's in Inferred and Volt? No love for those?
697,1130
698,Airmax 98 Modular! Still hunting for a pair...
699,Team Nike all the way
700,"You know someone is from Liverpool when they are wearing air max 95's I guarantee Liverpool in the UK has bought the most Nike air Max 95's in the world that shoe is part of our culture! Seeing Liverpool FC kits are going to be Nike next season whenever that bloody is with what's going on in the world right now, Nike need to do a air max 95 Liverpool design"
701,I wonder how these people got where they are? (besides hard work) like how do you just become the top nike designer?
702,I wish I could know more. is there designated teams for track suits? then shoes? then outewear? then colour ways? or is it a small team that does it all? AHHH
703,The french accent of that juliana girl is so obnoxious I can't stand it. And I'm french urgh
704,"My shoe collect is all air maxes, 270’s, tailwinds, tns and tnIII"
705,90s air max all time
706,AIR MAX IS THE BEST!!
707,I'm different fsr where you at
708,"Air max 95, air max 97 and air max plus. Thats it"
709,This is a different story than the one Jimmy Fallon told on his show.
710,Bro my 90's are coming in a few days
711,The leather in sneakers in the old days looked real and felt real...today the leather sneakers feel like fake leather...
712,"Why do they itw a DJ, an influencer, etc? That's ridiculous, I wanna Nike designers to tell me stories, not a random guy. Anyway, I wish they didn't kill the Air Max Big Window. That's my favorite shoe and it's impossible to find at a reasonable price now. (I managed to keep one yellow/black in pretty good shape tho before they disappeared."
713,Bring back the Air MAX BW!
714,2090s are insanely comfortable
715,Hell yea
716,Air max bw classic
717,i struggled to buy only 1 pair of air max plus's but these people got like 5 pairs
718,Used to love the old air max 90s these new ones are a no from me you have ruined them
719,Please release the tn plus 3 in the og mint green and white colourway!!!
720,DONT CHANGE AN ICON!!!
721,Plz bring them back out ^^
722,"2090 will never beat the classic Air MAX 90, problem with a lot of modern sneakers they look super plasticy."
723,If it ain't Broke Dont Fix It AIR MAX 96
724,Am 1 / 90 / BW / 180In OG colour ways are all I care about
725,In my part of Dubkin we called 95s turtle max
726,I've the 2090s and hands down they look cool but I feel they lack some snugness in middle and towards the back of the shoe coz I always feel like my feet is sliding towards front of the shoe. They need to do a face-lift or something coz the shoe's grip and snugness needs to be uniform in front mid and back.
727,"The 2090s are trash, pure basura bruh"
728,do 2090s give more height than 90s?
729,just receive my og 90 today......thats what brought me here hahahahahahahhaha personally it stops after 1998 and tn's......for me
730,had the 2090 for like 3 weeks already lmaoshoutout to finish line
731,Man said this new generation doesn’t have a signature shoe!?!?? It’s called the airforce
732,...Airmax 1’s ...95’s...97’s. The best Silhouettes.... but what they need to do now is figure a way for them soles not to crumble ....  best shoe of all time I’m my opinion...
733,"wow, very cool !"
734,I wonder what would happen if someone forgot to wear a pair of Nikes when going to work...
735,BWs need to be released to the world one of the best trainers ever and 110s haven't been 110 for a long time
736,But it goes  BWs 1st then 95s 2nd and 91s 3rd there is no other order......
737,"bruh check it, tupac had the og am90s on in the trapped video off his first album in 1991. 'hood' people did wear air maxes then"
738,you know you're a boomer when you say corny lol
739,Why does Nike always leave out the Air Max IV?
740,Air Force 1 is knocking
741,"""See it as a personality"".....has the world gone mad?"
742,I agree air max is iconic. There is is silhouette or color way for everyone. If you don't like one you can bet you can find one
743,who did the design the girl or the director??? you only have a creator that DESERVE TO BE MENTIONED....
744,please please please please bring back the BW classics
745,My airmax97 ultra17 is back to fashion thx to 30th anniversary
746,Wish i have a money to buy this shoes.
747,"I’ve got a picture of my air max from 2013 they were my favoruite ever and I have no idea what they’re called I want to buy them again so bad, if anyone’s expert can you help me pleaseee"
748,"Hi, Nike please notice me!I really love Nike AirMax. All my shoes are AirMax. I also collect different stuffs of Nike.#NikeLoverPh"
749,thanks to korea .. china .. india ..and vietnam and indonesia ... that has make this all sneakers .. because the Fact is there NO Nike made in USA 
750,In the 90s Netherlands the air max was THE hooligan shoe
751,I like that 110 nickname they gave em.
752,Need to talk more about tns and it’s popularity in aus
753,"017 what sneakers is this , someone let me know the name please"
754,"Nike should pay attention to their own ad campaign. What comes across here is the success of the simplicity and meaningful but functional designs of the earlier shoes that lasts. Nike is in danger of losing this quality. So many of the new shoes are cluttered with unnecessary junk. Dear Nike stay genuinely innovative, don't force it! Also bring back designs like the early freeRN flyknits. Simple design at its best. The new freeRN just ain't the same."
755,Everyone out here worshiping the 90 & but always loved the BW's way more!
756,Somebody know what model are the ones appearing in 1932?
757,Airmax one animal pack
758,What’s y’all’s thoughts on the 2090’s tho!?! Cop or Drop?
759,I like them but I think they kind of ruined the OG 90's
760,It’s the AM90 for me…..
761,95s & 98s are for me
762,"Air max 90, 95, 97 are the best classic design under my opinion and WTF is 2090?"
763,When the 95s came up it should’ve went straight to Liverpool lmao.
764,stop telling all these stories and release the infrared 90 in 2020 OG form will ya?
765,"I bought my first air max 90 white, and I regretted. Inside of these shoes looks fake. "
766,Imagine walking into the nike hq wearing Adidas
767,Nike is world class at Marketing that’s my takeaway
768,Only wear air max 90. My whole life wear them. Like what they say its more than a shoe 
769,cool. how much height do they give? they look kinda big
770,"Love the air max 90 Did a nike bye you on the air max 90 I'n black an white ""love them"". Air max is so so comfortable an always look good."
771,"Come on fashion people, a designer putting a see-through cushion in a shoe sole in Oregon has nothing to do with the wall coming down in Berlin Germany."
772,180s and 95s!
773,97 BY FAR EXEPT I DON'T HAVE A PEAR 
774,Nike please retro the Air Max 360. I beg of you lol.
775,yeah the vapormax sole on the 360 upper doesn't work for me haha. I heard they were going to retro it but had problems with the machines for making the soles. Maybe one day.
776,"553 ""Tinker got a scary post-it on his laptop""  WTF they had laptops in 1987?"
777,Five minutes running video until we can see a picture of God Tinker? What is this? Only him can talk about Air Max. I don´t understand this video without Him.
778,"I don't mind the new Air Maxes, but they don't seem as versatile as the originals. They look like they should only be worn with sportswear imo"
779,My birthday is 26 March  I buy the air max every year
780,Air max 1s though dutch culture )
781,Does anyone know the audio used on this video?
782,"One last comment those Air Max 98 La Mezcla from the Nike by you I think from last year are complete trash, like a Draymond Green jumpshot. That entire pack was trash all those designers took a huge L. You can still find the 98s on sale today"
783,long live the hardcore gabber scene
784,The Air Max Classic BW ´s Scene the Gabber´s in the ´90 and ´00
785,"I don’t know anything about shoes, but these seem way better than basic Air Force 1s"
786,AM1 ChloroThis year was the worst Air Max Day ever !!! Re-design a 90 Duck camo and a 2090 .... seriously ?
787,2090s look absolutely stinkin llf I'll stick with 90s
788,I'v been trying to get 140$ to buy 1 pair of air max for a few months... I'm broke af... feels bad...
789,"we was too busy worrying about getting slapped by the teachers for having a bit too long of a hairstyle back home. we never had no time or money or need to worry about sneakers. Heck nike shoes cost more than our rent. I guess the people in the west had more evolved problems like finding identity, idols, gender etc. Interesting."
790,"The 2090 drawing way too much influence from the ugliest trainers ever conceived. Yes, Yeezys."
791,This is good for Nike Air Max fans but where is the documentary for the Air Force 1's. Please make it happen Nike!!
792,The Nike air max LTD 3  are sick with full heal air bag around the back I want some black and grey with the white bottom
793,I no! There bad aswell in the right colour
794,Nike air Max TN for life
795,Airmax to the uk is what Jordan is to the u.s
796,Iconic History
797,Bring back BW classics/ultra
798,Me walks in room with retro 1s on Nike Not now it’s air max day.
799,Air Max 96 1 or 2 never gets mentioned.
800,I can honestly say I only own Nike air Max 95 gang ting!!!!!!!
801,Today is my birthday and is in year 1990 I'm proud of it
802,Tinker is everything 
803,I want those trainers on D.R feet. What are they!
804,Does anyone know what song they used on the Nike air Max 97
805,Unpopular opinion air max 95 is the best looking air max.
806,Soundtrack is on point
807,"Is there a chance that air force 1 gore-Tex boot ""wheat"" will be available here in Sydney Australia?"
808,air max 1 air max 90 and air max 3 ...some nice creps..got loads..
809,Nike air max 90 ultramarine and the OG infrared.
810,1525 regret getting rid of my Chicago’s
811,Air Max 90s over Jordans
812,"Personally, I like Air Maxes and Vapormaxes better than Jordans...And I'm black"
813,"Nike, what happened to the cool 2018 Air Max DLX model? Why are the iconic Air Max’s not performance sneakers  any more??? What’s up with that!? Disappointing! "
814,That model was never really mainstream or iconic like the other pairs featured unfortunately
815,You should have done a section in the video speaking about the Air Max 91 BWAnd by the way the 2090 sucks
816,From Viet Nam with love <3
817,"The vaporfly is boss, if you want a comfy shoe get the vaporfly"
818,Tbh the only kicks I fxck with are air max 90's and I bought 2 pairs of 2090's and they are decent too. Airforce's are also good for a casual look. But apart from those I don't wear any other shoes...
819,"Why not show the Air MAX LTD, FULL Heal Air Pocket, that was revolutionary back in the 90s?????? SMH that LTD silhouette is crazy smooth!"
820,Nike please give more color options for Nike by you air maxes
821,dude the AM 2090 blows. You failed Nike.
822,"Am I trippin, or does that air bubble look huge? @ 248. I grabbed some of my pairs to compare and I am not sure."
823,The bigger sizes have a bigger air bubble I were 13 it looks about the same size as mine
824,bring back air max bw
825,airmax 90 the best
826,"<a href=""https//www.youtube.com/watch?v=LBukoM3CLic&amp;t=4m29s"">429</a> Speaking about the air bubble &quot;what the hell are these&quot;Speaking when the bubble get blown &quot;what a piece of sh$$t is this&quot; <a href=""https//www.youtube.com/watch?v=LBukoM3CLic&amp;t=5m51s"">551</a> I HATE FRENCHIE ENGLISH!<a href=""https//www.youtube.com/watch?v=LBukoM3CLic&amp;t=6m28s"">628</a> &quot;Air Max collector&quot; (When the only best thing that you can do in your life is to collect shoes) Damn! Some people are dkheads!My air max were always blown away.The best Nike's line are ZOOM and Lunarglide. They are FUNCTIONAL. No air windows no breezes no blowns. Just cusion!"
827,"As soon as they produce some better colors, I'll cop a pair. But so far, not really impressed. Thankfully, my 270s and VaporMax still look good."
828,What's the name of the AM97 colorway that Dizzee Rascal is wearing?
829,SCOTTIE BEAM!!!! 
830,95’s but I did order a pair of 90’s yesterday lol only because I need a change
831,I like them just not the loop on the top of the back
832,"Hypebeast go away, this shoe represent the street culture !!!"
833,The roadman shoe
834,714 - 724 what song is that? Sounds dope
835,I love 270s they are stylish and comfy
836,They don't look that good IMO not many people in our generation like those shoes unlike the airmax 90s most people loved them  the 270's aren't gonna be iconic and I wouldn't think people are going to remember them in 30 years time
837,"Tru but they're quite big, a friend of mine wears 270's in a size 9. If I put my vans in next to his nikes it looks like I have midget feet though I wear a size 9 as well "
838,"Rebok Banachey toh Spring Shoe, dunk time Jano brain eh ek tuo Concoction nah hoye , only brain tai ja achey"
839,air max 1 is the best
840,This generation got the Travis Scott Air Jordan 1 LoL
841,These have got Tron all over them.
842,
843,Russian subtitles please!
844,"Take, a hike, Nike! Go woke, go broke. Nike products will never be allowed in my house again."
845,Air max 2090 is trash! They fumbled big time with the opportunity to take this model to new heights.
846,Clark Kent is a corny dude talking about someone else being corny. Hilarious.
847,"Hey got his own shoe line so far from corny, the point he made is true though"
848,the og 90s are amazing - the heel on the 2090 are really ugly.
849,"You guys wrong, Nike shox and tns (air max plus )"
850,such comfy shoes bro
851,"I wanna buy Air Force 1 para noise 2.0. if someone else has that one, can you sell that?"
852,Paris is filled with the air max 98 on everybody’s feet.
853,i happen to have a pair nice.
854,"If only they'd use better quality outsoles so , when the white dye fades, they don't turn grey and look like they need binning."
855,Wait where is air max 200? Its not listed on the video.. Thats weird
856,I thought a kid with Cerbral Palsy asked Nike in 2012 to help design a shoe that didn't need hands to put on?  Where is that story or credit?????
857,Air Max 2090 design was okay but why did it have to have long unnatural heels tho. Can’t walk in them properly.
858,Noting fresher than all white air max 90’s
859,Haha no love for the Air Max 93 p
860,ONCE YOU WEAR DEM YA NEVER PULL EM OFF ...GABBER UNITED..... PETER PAUL PIGMANS FOREVER
861,i need the air max 90 coral rose pleaaase
862,Please dont buy all the air maxes! Leave me 1 pair
863,24 minutes of Nike whiffing their own farts and telling us it smells like roses.
864,What is the song playing in the background at 1700?
865,"I was about to say, if the gabbers are not in this, it aint right."
866,"Italy not considered except for a little mention to Milan is really disappointing. AM90, AM97 and AMtn (le squalo) here are just religion"
867,I'm 17 and i'm broke af and I want to say is I don't have any airmax
868,Just skip over the 270s lol
869,always tuck the laces my maxis
870,Which Nike’s is the lady wearing in the beginning?
871,I wish I could rave back in the 90s instead of this corporate bull shit insomniac events over charging white and Asian kids
872,"I love air Max but come on people.Its a shoe, they act like it cured cancer.Kinda ridiculous"
873,"Try being a uk13, so hard to get a dope pair."
874,getting my all black 90s tomorrow uwu
875,I want a story of cortez
876,"1's, 90's, 97's, TN 1's, TN 3's"
877,"This is bs. I designed the air bubble when I was a kid in Prince Georges County, md. And only I can tell you where I got that idea from."
878,how was stash not in this video ?
879,This felt like an ad
880,If I was running out of Ideas i would do the same thing just bring back kinda
881,95s black/laser blue airbag /don't mess about 
882,yeah 95s are always chill.  only small downside is that heel air unit is not 'see trough'
883,max is in the air in st!!! 0
884,They didn't say much about the AM 2090's...
885,The best shoe 
886,Air Max 90 always will be icons like Cortez and original Jordan's
887,CORTEEEZ ??????
888,CORTEZ???
889,I agree
890,"yeah 90's are the best  chill designs, super comfy and they give 4cm of height"
891,what's the song at 424 please ? thanks
892,"2090 along with the 270/720 bullshit is going to be the downfall of this company. Please just stick to Vapormax and React, give us some squishy hybrids with retro designs but updated tech, and stop screwing yourselves over."
893,When are you going to release nike pegasus 37 ?????
894,Air max's aren't my thing I don't find the showing the air bag appealing. TBH
895,My uncle created the air max
896,When he was 7
897,airmax 90 is better than jordan 1. change my mind.
898,2090 are so fucking futuristic.
899,When are the infrared coming tho?
900,Tentatively holiday 2020
901,Uk Drip is on a drippy new level
902,My personal favorite air max is the tail wind
903,@Vlah Blah the Jordan and air max has nothing similar so not the best analogy but the tail wind has the name air max in the name it has all the similar features to Am’s
904,Not a air max but ok. The tailwind had the air max tech but is not a air max. That’s like me saying the air jordans  are my fav air max. They have the same tech but is outside of the air max brand.
905,How about air max excee?
906,"HeavyPs Peace to the manufacturers. Peace to Nelson Mandela. Peace to Sneaker Lovers ,Peace to The Persian BW and Marina Blue"
907,https//youtube.com/shorts/pX3aS_lmyuA?feature=share
908,Please make translation on Russia language
909,Don't let nobody fool you it was a black man who created the air bubbles on a Nike shoes as he didn't get credit for
910,Hey Nike whats the name of the airmax at 807
911,Vostfr please !
912,The terrible bursting 90s worst of them all! Every pair I've had splits in the same place and the colour part round the bubble was is still to brittle it falls apart even on today's!
913,What is the background beat when Dizzee Rascal makes an appearance??x
914,Explain to ME what is a basketball?
915,Nike Introducing the all-new Air Max 2090.Adidas YEEZYS for life!!!
916,Brad Kells that’s word. Yeezys are a peasant looking rosches lol
917,Mazen Elsoukkary yeezy is for twats
918,What happened to AM1?
919,"Does anybody have a pair of 2090? If so, how are they? Comfort, design, durability?"
920,"@Danny Lee thank you bro, I wasn't sure I'd get any responses lol. These shoes look so clean and unique, I'm definitely gonna get a pair now "
921,"I have a pair. all of the above. super super comfy, fits like a sock."
922,air max correlate good.
